,@k,@v
545,4/20/2019,546
546,4/21/2019,547
547,4/22/2019,548
548,4/23/2019,549
549,4/24/2019,550
550,4/27/2019,551
551,4/28/2019,552
552,4/29/2019,553
553,4/30/2019,554
554,5/1/2019,555
555,5/2/2019,556
556,5/3/2019,557
557,5/4/2019,558
558,5/5/2019,559
559,5/6/2019,560
560,5/7/2019,561
561,5/8/2019,562
562,5/9/2019,563
563,5/10/2019,564
564,5/11/2019,565
565,5/12/2019,566
566,5/13/2019,567
567,5/14/2019,568
568,5/15/2019,569
569,5/16/2019,570
570,1/1/2016,571
571,Standby,572
572,1/2/2016,573
573,1/3/2016,574
574,No Rotation,575
575,Normal Operation,576
576,1/4/2016,577
577,Low Engine Oil Pressure,578
578,1/5/2016,579
579,High Discharge Pressure,580
580,1/6/2016,581
581,1/7/2016,582
582,1/8/2016,583
583,1/9/2016,584
584,1/10/2016,585
585,1/11/2016,586
586,1/12/2016,587
587,1/13/2016,588
588,1/14/2016,589
589,Low Suction Pressure,590
590,1/15/2016,591
591,1/16/2016,592
592,1/17/2016,593
593,1/18/2016,594
594,1/19/2016,595
595,1/20/2016,596
596,1/21/2016,597
597,High Suction Pressure,598
598,1/22/2016,599
599,1/23/2016,600
600,1/24/2016,601
601,1/25/2016,602
602,1/26/2016,603
603,1/27/2016,604
604,1/28/2016,605
605,1/29/2016,606
606,1/30/2016,607
607,1/31/2016,608
608,2/1/2016,609
609,High RPM,610
610,2/2/2016,611
611,2/3/2016,612
612,Engine Oil Level,613
613,2/4/2016,614
614,2/5/2016,615
615,2/6/2016,616
616,2/7/2016,617
617,2/8/2016,618
618,2/9/2016,619
619,2/10/2016,620
620,2/11/2016,621
621,2/12/2016,622
622,2/13/2016,623
623,2/14/2016,624
624,2/15/2016,625
625,2/16/2016,626
626,2/17/2016,627
627,2/18/2016,628
628,2/19/2016,629
629,2/20/2016,630
630,2/21/2016,631
631,2/22/2016,632
632,2/23/2016,633
633,2/24/2016,634
634,2/25/2016,635
635,2/26/2016,636
636,2/27/2016,637
637,2/28/2016,638
638,2/29/2016,639
639,3/1/2016,640
640,3/2/2016,641
641,3/3/2016,642
642,3/4/2016,643
643,3/5/2016,644
644,3/6/2016,645
645,3/7/2016,646
646,3/8/2016,647
647,3/9/2016,648
648,3/10/2016,649
649,3/11/2016,650
650,3/12/2016,651
651,3/13/2016,652
652,3/14/2016,653
653,3/15/2016,654
654,3/16/2016,655
655,3/17/2016,656
656,3/18/2016,657
657,3/19/2016,658
658,3/20/2016,659
659,3/21/2016,660
660,3/22/2016,661
661,3/23/2016,662
662,3/24/2016,663
663,3/25/2016,664
664,3/26/2016,665
665,3/27/2016,666
666,3/28/2016,667
667,3/29/2016,668
668,3/30/2016,669
669,3/31/2016,670
670,4/1/2016,671
671,4/2/2016,672
672,4/3/2016,673
673,4/4/2016,674
674,4/5/2016,675
675,4/6/2016,676
676,4/7/2016,677
677,4/8/2016,678
678,4/9/2016,679
679,4/10/2016,680
680,4/11/2016,681
681,4/12/2016,682
682,4/13/2016,683
683,4/14/2016,684
684,4/15/2016,685
685,4/16/2016,686
686,4/17/2016,687
687,4/18/2016,688
688,4/19/2016,689
689,4/20/2016,690
690,4/21/2016,691
691,4/22/2016,692
692,4/23/2016,693
693,4/24/2016,694
694,Scrubber Liquid Level,695
695,4/25/2016,696
696,4/26/2016,697
697,4/27/2016,698
698,4/28/2016,699
699,4/29/2016,700
700,4/30/2016,701
701,5/1/2016,702
702,5/2/2016,703
703,5/3/2016,704
704,5/4/2016,705
705,5/5/2016,706
706,5/6/2016,707
707,5/7/2016,708
708,5/8/2016,709
709,5/9/2016,710
710,5/10/2016,711
711,5/11/2016,712
712,5/12/2016,713
713,5/13/2016,714
714,5/14/2016,715
715,5/15/2016,716
716,5/16/2016,717
717,5/17/2016,718
718,5/18/2016,719
719,5/19/2016,720
720,5/20/2016,721
721,5/21/2016,722
