,@D,@T,@NVl,@Vl,@L,@Cl,@St,@UI_1
275,719,4:54:00 AM,13,13 Volts,0,,2,3
276,720,4:54:00 AM,12,12 Volts,0,,2,3
277,721,4:54:00 AM,12,12 Volts,0,,2,3
278,721,6:54:00 AM,14,14 Volts,0,,2,3
279,721,11:54:00 PM,12,12 Volts,0,,2,3
280,722,4:54:00 AM,12,12 Volts,0,,2,3
281,722,10:56:00 PM,13,13 Volts,0,,2,3
282,723,4:54:00 AM,12,12 Volts,0,,2,3
283,724,4:54:00 AM,13,13 Volts,0,,2,3
284,725,4:54:00 AM,13,13 Volts,0,,2,3
285,725,9:54:00 PM,13,13 Volts,0,,2,3
286,726,4:54:00 AM,12,12 Volts,0,,2,3
287,726,9:14:00 PM,13,13 Volts,0,,2,3
288,727,4:54:00 AM,12,12 Volts,0,,2,3
289,727,10:49:00 AM,13,13 Volts,0,,2,3
290,728,2:54:00 AM,12,12 Volts,0,,2,3
291,728,4:54:00 AM,12,12 Volts,0,,2,3
292,729,4:54:00 AM,12,12 Volts,0,,2,3
293,729,7:56:00 AM,13,13 Volts,0,,2,3
294,729,7:54:00 PM,13,13 Volts,0,,2,3
295,730,4:54:00 AM,12,12 Volts,0,,2,3
296,731,4:54:00 AM,13,13 Volts,0,,2,3
297,732,4:54:00 AM,14,14 Volts,0,,2,3
298,732,12:54:00 PM,14,14 Volts,0,,2,3
299,732,6:54:00 PM,13,13 Volts,0,,2,3
300,733,4:54:00 AM,12,12 Volts,0,,2,3
301,733,5:54:00 AM,14,14 Volts,0,,2,3
302,733,5:54:00 PM,13,13 Volts,0,,2,3
303,734,4:54:00 AM,12,12 Volts,0,,2,3
304,735,4:54:00 AM,12,12 Volts,0,,2,3
305,735,8:11:00 AM,13,13 Volts,0,,2,3
306,735,10:22:00 AM,14,14 Volts,0,,2,3
307,736,4:54:00 AM,13,13 Volts,0,,2,3
308,737,4:54:00 AM,13,13 Volts,0,,2,3
309,738,4:54:00 AM,13,13 Volts,0,,2,3
310,738,4:56:00 PM,13,13 Volts,0,,2,3
311,739,4:54:00 AM,12,12 Volts,0,,2,3
312,739,4:54:00 PM,13,13 Volts,0,,2,3
313,739,5:45:00 PM,13,13 Volts,0,,2,3
314,740,4:54:00 AM,12,12 Volts,0,,2,3
315,740,9:06:00 AM,13,13 Volts,0,,2,3
316,740,9:46:00 AM,14,14 Volts,0,,2,3
317,740,10:45:00 AM,14,14 Volts,0,,2,3
318,742,4:54:00 AM,12,12 Volts,0,,2,3
319,742,6:48:00 AM,12,12 Volts,0,,2,3
320,742,9:54:00 AM,14,14 Volts,0,,2,3
321,742,12:29:00 PM,14,14 Volts,0,,2,3
322,743,4:54:00 AM,12,12 Volts,0,,2,3
323,744,4:54:00 AM,12,12 Volts,0,,2,3
324,744,12:54:00 PM,13,13 Volts,0,,2,3
325,745,4:54:00 AM,12,12 Volts,0,,2,3
326,746,4:54:00 AM,12,12 Volts,0,,2,3
327,747,4:54:00 AM,12,12 Volts,0,,2,3
328,747,8:37:00 AM,13,13 Volts,0,,2,3
329,747,12:14:00 PM,14,14 Volts,0,,2,3
330,747,1:16:00 PM,14,14 Volts,0,,2,3
331,748,4:54:00 AM,12,12 Volts,0,,2,3
332,748,11:54:00 AM,13,13 Volts,0,,2,3
333,749,4:54:00 AM,12,12 Volts,0,,2,3
334,749,12:54:00 PM,13,13 Volts,0,,2,3
335,749,8:54:00 PM,13,13 Volts,0,,2,3
336,750,4:54:00 AM,12,12 Volts,0,,2,3
337,751,4:54:00 AM,12,12 Volts,0,,2,3
338,752,4:54:00 AM,12,12 Volts,0,,2,3
339,752,7:54:00 AM,13,13 Volts,0,,2,3
340,753,4:54:00 AM,13,13 Volts,0,,2,3
341,754,4:54:00 AM,13,13 Volts,0,,2,3
342,755,4:54:00 AM,12,12 Volts,0,,2,3
343,756,4:57:00 AM,12,12 Volts,0,,2,3
344,756,10:54:00 AM,14,14 Volts,0,,2,3
345,756,5:54:00 PM,13,13 Volts,0,,2,3
346,756,11:54:00 PM,12,12 Volts,0,,2,3
347,757,4:54:00 AM,12,12 Volts,0,,2,3
348,757,5:54:00 AM,12,12 Volts,0,,2,3
349,757,10:56:00 AM,14,14 Volts,0,,2,3
350,758,4:54:00 AM,12,12 Volts,0,,2,3
351,759,4:54:00 AM,13,13 Volts,0,,2,3
352,759,7:29:00 PM,13,13 Volts,0,,2,3
353,760,4:54:00 AM,12,12 Volts,0,,2,3
354,760,6:54:00 AM,12,12 Volts,0,,2,3
355,760,12:00:00 PM,14,14 Volts,0,,2,3
356,761,4:54:00 AM,12,12 Volts,0,,2,3
357,762,4:54:00 AM,12,12 Volts,0,,2,3
358,763,4:54:00 AM,12,12 Volts,0,,2,3
359,764,4:54:00 AM,12,12 Volts,0,,2,3
360,765,4:54:00 AM,13,13 Volts,0,,2,3
361,765,10:54:00 AM,14,14 Volts,0,,2,3
362,766,4:54:00 AM,13,13 Volts,0,,2,3
363,767,4:54:00 AM,12,12 Volts,0,,2,3
364,768,4:54:00 AM,12,12 Volts,0,,2,3
365,768,9:15:00 AM,14,14 Volts,0,,2,3
366,768,10:54:00 AM,14,14 Volts,0,,2,3
367,768,1:48:00 PM,14,14 Volts,0,,2,3
368,768,10:54:00 PM,12,12 Volts,0,,2,3
369,769,4:54:00 AM,12,12 Volts,0,,2,3
370,770,4:54:00 AM,12,12 Volts,0,,2,3
371,1,2:48:00 PM,12,12 Volts,0,,2,3
372,1,3:33:00 PM,14,14 Volts,0,,2,3
373,1,3:54:00 PM,14,14 Volts,0,,2,3
374,772,4:13:00 PM,12,12 Volts,0,,2,3
375,772,4:50:00 PM,13,13 Volts,0,,2,3
376,772,9:54:00 PM,12,12 Volts,0,,2,3
377,773,4:54:00 AM,12,12 Volts,0,,2,3
378,773,9:07:00 AM,14,14 Volts,0,,2,3
379,774,2:43:00 PM,14,14 Volts,0,,2,775
380,774,3:26:00 PM,13,13 Volts,0,,2,775
381,774,3:37:00 PM,14,14 Volts,0,,2,775
382,776,1:10:00 PM,14,14 Volts,0,,2,775
383,776,10:57:00 PM,14,14 Volts,0,,2,775
384,777,1:05:00 PM,14,14 Volts,0,,2,775
385,777,1:09:00 PM,14,14 Volts,0,,2,775
386,777,5:49:00 PM,13,13 Volts,0,,2,775
387,779,9:58:00 AM,14,14 Volts,0,,2,775
388,780,11:54:00 PM,14,14 Volts,0,,2,775
389,781,1:40:00 PM,14,14 Volts,0,,2,5
390,13,1:53:00 PM,14,14 Volts,0,,2,5
