,@ASSETID,@ASSETNAME,@LEASENAME,@STATUS,@ALARMCOLOR,@COLUMNCOUNT,@MODULENAME,@MODULEURL,@SAMPLETIME
29,10448,MP-1601,"EHRLICH 5E-423,5E-323,5J-243,5J-303",ACTIVE,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10448&amp;ANm=MP-1601&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=58|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10448&amp;ANm=MP-1601&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=58,12/29/1899 06:00 PM
30,2916,MP-1773,GUTTERSEN PAD 2 31T-441,Active,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2916&amp;ANm=MP-1773&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2916&amp;ANm=MP-1773&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
31,10539,MP-1801,HARPER 43-27,Active,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10539&amp;ANm=MP-1801&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=66|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10539&amp;ANm=MP-1801&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=66,12/29/1899 06:00 PM
32,2867,MP-1911,WASTE MANAGEMENT 2Y-441,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2867&amp;ANm=MP-1911&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=58|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2867&amp;ANm=MP-1911&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=58,12/29/1899 06:00 PM
33,2964,MP-1916,BECKER RANCH 5R-303,Active,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2964&amp;ANm=MP-1916&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=58|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2964&amp;ANm=MP-1916&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=58,12/29/1899 06:00 PM
34,3710,MP-1931,ANDERSON 34R-343,Standby,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=3710&amp;ANm=MP-1931&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=58|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=3710&amp;ANm=MP-1931&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=58,12/29/1899 06:00 PM
35,10628,MP-1964,STILLE 12-6H,ACTIVE,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10628&amp;ANm=MP-1964&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=66|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10628&amp;ANm=MP-1964&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=66,12/29/1899 06:00 PM
36,10631,MP-1966,O INVESTMENT PROPERTIES 6T-421,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10631&amp;ANm=MP-1966&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=58|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10631&amp;ANm=MP-1966&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=58,12/29/1899 06:00 PM
37,10668,MP-204,COORS ENERGY 24 &amp; 34-25,ACTIVE,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10668&amp;ANm=MP-204&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10668&amp;ANm=MP-204&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
38,10681,MP-2051,"SCHAFFEREAST32,33,42-7D,70S,70D",Standby,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10681&amp;ANm=MP-2051&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=66|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10681&amp;ANm=MP-2051&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=66,12/29/1899 06:00 PM
